Contrato,Sector,Concurso,Anio_Proyecto,Titulo_Proyecto,Fecha_Inicio,Fecha_Fin,Empresa,Distrito,Provincia,Region,Ubigeo,Monto_Estado,Aporte_Empresa,Aporte_No_Financiero,Moneda,Fecha_Corte,ANIO_CORTE_ARCHIVO,Fecha_Corte_Std,Anio_Corte_Num,Monto_Total_Proyecto
001-2023-PRODUCE/PROINNOVATE,MIPYME EMPRENDEDOR,PROGRAMA DE APOYO A LA INTERNACIONALIZACIÓN MODALIDAD I - EMPRENDEDOR EXPORTADOR,2023,EXPORTACION DIRECTA DE BANANO ORGANICO DE CAFOM CYDEX HACIA EL MERCADO DE ALEMANIA,20230517.0,20241115.0,COOPERATIVA AGRARIA DE FRUTAS ORGANICAS MALLARES CYDEX,MARCAVELICA,SULLANA,PIURA,200605.0,70000.0,7777.34,0.0,SOLES,20240620,20240620,2024-06-20,20240620,77777.34
001-FIDECOM-INNOVATEPERU-PIMEN-2021-SI,FIDECOM,PIMEN,2021,DESARROLLO DE UN SISTEMA DE GENERACION DE MODELOS VIRTUALES DE PRENDAS DE ALPACA PARA MEJORAR LA PRODUCTIVIDAD Y REDUCIR LOS COSTOS EN EL DESARROLLO DE MUESTRAS.,20210407.0,20220107.0,LOPEZ GUERRA ROBERTO ENRIQUE,AREQUIPA,AREQUIPA,AREQUIPA,40101.0,79960.0,11100.0,12780.0,SOLES,20260105,05012026,2026-01-05,20260105,103840.0
001-FIDECOM-PNICP-PIPEI-2015,FIDECOM,PIPEI,2015,"SISTEMA DE GENERACION DE ENERGIA SOLAR MEDIANTE APLICACION DE LENTES FRESNEL PARA ELEVAR LA EFICIENCIA ENERGETICA EN 70%, EN SANDOVAL LAKE LODGE.",20150421.0,20180220.0,SANDOVAL LAKE LODGE S.A,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,170101.0,260930.51,41169.49,69400.0,SOLES,20260105,05012026,2026-01-05,20260105,371500.0
001-FINCYT-AE-2011,FINCYT I,ASESORIAS ESPECIALIZADAS,2011,ASESORIA PARA LA MEJORA EN LA GESTION DE LOS COSTOS LOGISTICOS PARA EMPRESAS PRODUCTORAS DE OLIVO,20110505.0,20110805.0,ASOCIACION PRO OLIVO,TACNA,TACNA,TACNA,230101.0,14120.0,11037.6,6990.0,SOLES,20260105,05012026,2026-01-05,20260105,32147.6
001-FINCYT-DAL-2014,FINCYT II,DIAG. PARA LA ACREDITACIÓN DE LABORATORIOS,2014,CONCURSO DIAG. PARA LA ACREDITACION DE LABORATORIOS,20140402.0,20140702.0,LABORATORIO VETERINARIO DEL SUR,AREQUIPA,AREQUIPA,AREQUIPA,40101.0,5503.4,2358.6,0.0,SOLES,20260105,05012026,2026-01-05,20260105,7862.0
001-FINCYT-FIDECOM-PIPEI-2012,FIDECOM,PIPEI,2012,"DESARROLLO DE PROTOCOLOS PARA LA PRODUCCION DE PLANTONES CLONALES DE SIETE ESPECIES MADERABLES NATIVAS AMAZONICAS: CAOBA (SWIETENIA MACROPHYLLA), CEDRO (CEDRELA ODORATA), TORNILLO (CEDRELINGA CATENAEFORMIS), CAPIRONA (CALYCOPHYLLUM SPRUCEANUM), MARUPA (SIMAROUBA AMARA), ESTORAQUE (MYROXILON BALSAMUM), QUINILLA (MANILKARA BIDENTATA) EN BASE A SEMILLA VEGETATIVA DE ARBOLES PLUS EN LA REGION SAN MARTIN",20120319.0,20141101.0,REFORESTA PERU S.A.C.,LA BANDA DE SHILCAYO,SAN MARTIN,SAN MARTIN,220909.0,269269.32,134035.68,54269.0,SOLES,20260105,05012026,2026-01-05,20260105,457574.0
001-FINCYT-FIDECOM-PIPEI-2013,FIDECOM,PIPEI,2013,"OBTENCION DE PRODUCTOS PROCESADOS DE PLANTAS MEDICINALES E INSUMOS ALIMENTICIOS CON LIMITES ADECUADOS DE INOCUIDAD MICROBIANA MEDIANTE LA ESTANDARIZACION DEL SISTEMA OSS (ORGANIC STERILIZATION SYSTEM), MANTENIENDO SU CALIDAD NUTRICIONAL, FISICOQUIMICA Y ORGANOLEPTICA",20130426.0,20141114.0,PERUVIAN NATURE S & S S.A.C.,LURIN,LIMA,LIMA,150119.0,269987.29,68741.71,74600.0,SOLES,20260105,05012026,2026-01-05,20260105,413329.0
001-FINCYT-PIBAP-2008,FINCYT I,PIBAP,2008,EVALUACION DE FACTORES BIOQUIMICOS Y MOLECULARES PARA LA DETERMINACION DE BIOMARCADORES DE CARIES Y PERIODONTITIS.,20080131.0,20101231.0,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,LIMA,LIMA,LIMA,150101.0,68920.0,0.0,183244.37,SOLES,20260105,05012026,2026-01-05,20260105,252164.37
001-FINCYT-PIBAP-2009,FINCYT I,PIBAP,2009,BASES CIENTIFICAS Y TECNOLOGICAS PARA INCREMENTAR LA PRODUCTIVIDAD DEL CULTIVO DE CONCHAS DE ABANICO EN AREAS DE REPOBLAMIENTO EN LA BAHIA DE SECHURA,20090128.0,20111027.0,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,LA MOLINA,LIMA,LIMA,150114.0,401192.64,0.0,57514.0,SOLES,20260105,05012026,2026-01-05,20260105,458706.64
001-FINCYT-PITEI-2007,FINCYT I,PITEI,2007,INNOVACION DE LA OFERTA EXPORTABLE DE OREGANO DESHIDRATADO DE LA EMPRESA AGROCAMSA,20071228.0,20120527.0,AGROINDUSTRIAS CAMBAYA S.A.,ILABAYA,JORGE BASADRE,TACNA,230302.0,135400.0,0.0,137100.0,SOLES,20260105,05012026,2026-01-05,20260105,272500.0
